OBJECTID,Address,Place_Type,long,lat
3380,1769 Terilyn Ave,SF,-121.839462,37.328587
3454,1770 Barberry Ln,SF,-121.815473,37.314424
3465,1770 Cathay Dr,SF,-121.830235,37.335241
3472,1770 Cortez Ave,SF,-121.838861,37.338005
3487,1770 Florida Ave,SF,-121.836115,37.330635
3494,1770 Home Gate Dr,SF,-121.819163,37.340223
3504,1770 Loyola Dr,SF,-121.834784,37.334559
3520,1770 Quimby Rd,MH,-121.819421,37.328621
3526,1770 Sundown Ln,SF,-121.814099,37.34343
3527,1770 Terilyn Ave,SF,-121.839076,37.328826
3570,1771 Florida Ave,SF,-121.836587,37.330328
3590,1771 Lido Way,MF,-121.843711,37.342407
3593,1771 Loyola Dr,SF,-121.835171,37.334934
3608,1771 Ocala Ave,SF,-121.832939,37.332614
3612,1771 Quimby Rd,MH,-121.81955,37.328553
3620,1771 S Capitol Ave,SF,-121.819077,37.342168
3660,1772 Home Gate Dr,SF,-121.81912,37.340155
3667,1772 June Ave,SF,-121.837359,37.32985
3671,1772 La Porte Ave,SF,-121.834269,37.333979
3678,1772 Midfield Ave,SF,-121.839634,37.328314
3679,1772 Mt Kenya Dr,SF,-121.79895,37.35114
3684,1772 Quimby Rd,MH,-121.819678,37.328451
3697,1772 Waverly Ave,SF,-121.827961,37.326164
3703,1773 Bermuda Way,SF,-121.833754,37.332375
3712,1773 Cathay Dr,SF,-121.830536,37.3349
3731,1773 La Porte Ave,SF,-121.834613,37.334354
3742,1773 Quimby Rd,MH,-121.81985,37.328587
3769,1774 Cathay Dr,SF,-121.830107,37.335105
3787,1774 Hillmont Ave,SF,-121.815258,37.343839
3789,1774 Home Gate Dr,SF,-121.819077,37.340121
3791,1774 Karl St,SF,-121.826673,37.337425
3792,1774 Kyra Cir,SF,-121.815172,37.313844
3794,1774 Leeward Dr,SF,-121.821438,37.340257
3805,1774 Orlando Dr,SF,-121.834012,37.332204
3808,1774 Quimby Rd,MH,-121.819678,37.328655
3811,1774 Seaview Dr,SF,-121.833712,37.333399
3812,1774 Sundown Ln,SF,-121.814271,37.343362
3836,1775 Chaucer Dr,SF,-121.844333,37.343515
3841,1775 Crucero Dr,MF,-121.843067,37.327427
3860,1775 Hillmont Ave,SF,-121.815687,37.343532
3865,1775 Kyra Cir,SF,-121.815515,37.314083
3881,1775 Monrovia Dr,SF,-121.815172,37.313571
3884,1775 Mt Rushmore Dr,SF,-121.803027,37.349196
3894,1775 Quimby Rd,MH,-121.81955,37.328724
3898,1775 Seaview Dr,SF,-121.834055,37.333774
3900,1775 S King Rd,SF,-121.835128,37.331249
3901,1775 Story Rd,CO,-121.84281,37.341724
3902,1775 Story Rd 100,BU,-121.84281,37.341383
3903,1775 Story Rd 110,BU,-121.842681,37.341451
3904,1775 Story Rd 120,RL,-121.842509,37.341554
3905,1775 Story Rd 130,RL,-121.84238,37.341622
4074,1776 Barberry Ln,SF,-121.815387,37.314492
4086,1776 Darwin Way,SF,-121.833025,37.332921
4098,1776 Home Gate Dr,SF,-121.818949,37.340018
4138,1776 Quimby Rd,MH,-121.819421,37.328826
4144,1776 S King Rd,SF,-121.834742,37.331692
4157,1776 Woodridge Way,SF,-121.811181,37.345272
4173,1777 Biscayne Way,SF,-121.835814,37.335446
4187,1777 Darwin Way,SF,-121.833325,37.333296
4196,1777 Foley Ave,SF,-121.838261,37.329304
4255,1777 Hopkins Dr,SF,-121.829763,37.335173
4270,1777 Mt Pleasant Rd,SF,-121.79865,37.351311
4481,1777 Quimby Rd,MH,-121.819292,37.328894
4482,1777 Rigoletto Dr,SF,-121.821395,37.319612
4511,1777 S White Rd,SF,-121.809894,37.345545
4516,1777 Tampa Way,SF,-121.835857,37.330805
4535,1778 Biscayne Way,SF,-121.835342,37.335105
4563,1778 Home Gate Dr,SF,-121.818906,37.33995
